09:14:53 INFO    can.interfaces.socketcan.socketcan Created a socket
09:16:36 INFO    autopilot  set heading value to 180.28450911196208.
09:16:36 INFO    autopilot  set heading value to 180.27667476054089.
09:16:37 INFO    autopilot  set heading value to 180.26982326356787.
09:16:37 INFO    autopilot  set heading value to 180.24471605438464.
09:16:37 INFO    autopilot  set heading value to 180.20903002989164.
09:16:37 INFO    autopilot  set heading value to 180.16521333318403.
09:16:38 INFO    autopilot  set heading value to 180.12093073320491.
09:16:38 INFO    autopilot  set heading value to 180.0958623145509.
09:16:38 INFO    autopilot  set heading value to 180.08412387553895.
09:16:38 INFO    autopilot  set heading value to 180.0695289779101.
09:16:39 INFO    autopilot  set heading value to 180.0379381370846.
09:16:39 INFO    autopilot  set heading value to 179.98823636663192.
09:16:39 INFO    autopilot  set heading value to 179.92835451645217.
09:16:39 INFO    autopilot  set heading value to 179.8863591739778.
09:16:40 INFO    autopilot  set heading value to 179.85195417898007.
09:16:40 INFO    autopilot  set heading value to 179.81798541322453.
09:16:40 INFO    autopilot  set heading value to 179.7842733566976.
09:16:40 INFO    autopilot  set heading value to 179.74328149544786.
09:16:41 INFO    autopilot  set heading value to 179.70162482673263.
09:16:41 INFO    autopilot  set heading value to 179.66416104770158.
09:16:41 INFO    autopilot  set heading value to 179.61388065724995.
09:16:41 INFO    autopilot  set heading value to 179.55401118151772.
09:16:42 INFO    autopilot  set heading value to 179.49758135763187.
09:16:42 INFO    autopilot  set heading value to 179.4484621790412.
09:16:42 INFO    autopilot  set heading value to 179.41819973917464.
09:16:43 INFO    autopilot  set heading value to 179.41033671705327.
